ticker,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,returnOnEquity,returnOnAssets,grossMargins,operatingMargins,profitMargins,debtToEquity,currentRatio,quickRatio,earningsQuarterlyGrowth,revenueGrowth,freeCashflow,operatingCashflow,totalRevenue,ebitda,bookValue,trailingEps,forwardEps,sharesOutstanding,beta,heldPercentInsiders,shortRatio,roe_q,roa_q,ni_growth_q,rev_growth_q,accruals,debt_equity_q,cfo_assets
WAT,39947894784.0,44502278144.0,103.002525,24.560787,2.6118104,8.601515,30.796,0.019199999,0.03528,0.56337,0.1003,0.03588,33.472,,,,1.133,,549555008.0,4644285952.0,1445048064.0,155.777,3.95,16.56543,98185855.0,1.184,0.00103,4.04,,,,,,,
WEC,35071168512.0,58482470912.0,20.93969,17.935434,2.5730953,3.459582,14.749,0.11988,0.030250002,0.41909,0.21802999,0.16686001,157.985,0.534,0.303,0.219,0.026,-2353637376.0,3574200064.0,10137400320.0,3965199872.0,41.829,5.14,6.00097,325849383.0,0.462,0.0015199999,6.22,,,-0.09536082474226804,-0.04491444866920147,,,
VRTX,125654532096.0,119859560448.0,28.908508,22.958508,6.2070045,9.982722,23.5,0.23542999,0.11926,0.54957,0.38055,0.34997,9.767,3.185,2.536,0.065,0.125,2627887616.0,4292900096.0,12587200512.0,5100499968.0,79.921,17.16,21.60724,253300000.0,0.305,0.0021,2.45,,,,,,,
VTRS,18871347200.0,30984548352.0,,6.171704,1.3052113,1.2805159,7.218,-0.02754,0.02668,0.40307,0.12550999,-0.02787,95.535,1.585,0.816,,0.049,2677337600.0,2330800128.0,14737300480.0,4292499968.0,12.588,-0.37,2.66215,1148590864.0,0.893,0.00316,4.65,,,-662.304347826087,-0.09151056642751454,,,
WAB,49289875456.0,55595876352.0,39.221775,23.593208,4.468007,4.114347,20.972,0.11553001,0.061669998,0.35735,0.19188,0.10593,61.686,1.121,0.525,0.176,0.175,1101374976.0,1999000064.0,11980000256.0,2651000064.0,65.311,7.44,12.36839,168910851.0,0.928,0.00699,4.03,,,,,,,
WDAY,44366315520.0,43823079424.0,55.78882,14.207686,6.693245,4.502366,28.984,0.10858,0.04343,0.75766,0.13297,0.08595,56.936,1.009,0.912,2.265,0.135,3118749952.0,3177999872.0,9854000128.0,1512000000.0,26.839,3.22,12.64386,201000000.0,1.054,0.021440001,5.55,,,,,,,
WELL,170717921280.0,189763764224.0,106.24215,72.34198,3.8123128,13.375777,56.805,0.03836,0.00825,0.39560002,0.16561002,0.12149999,41.375,1.317,0.946,0.474,0.391,2756164352.0,3186323968.0,12763214848.0,3340614912.0,62.146,2.23,3.275,720572011.0,0.763,0.00059999997,5.3,,,,,,,
WBD,67141124096.0,97005633536.0,,4690.0176,2.0607927,1.8590924,12.448,-0.08786,0.01708,0.47811002,0.05105,-0.08769,94.199,0.777,0.406,-0.906,-0.112,16167374848.0,3423000064.0,36115001344.0,7792999936.0,12.995,-1.28,0.00571,2507136702.0,1.565,0.04202,2.93,,,,,,,
VZ,195523723264.0,388649713664.0,12.255209,8.912052,1.881497,1.4077089,7.608,0.15842,0.050479997,0.59453,0.22999,0.11643,184.081,0.604,0.462,-0.233,-0.007,17466624000.0,38798999552.0,138894999552.0,51081998336.0,25.012,3.84,5.28049,4154775202.0,0.231,0.00037,2.45,,,0.010707070707070665,0.020194553679666383,,,
WFC,263843938304.0,263382941696.0,12.7372265,11.043716,1.6402225,3.1778471,,0.12575,0.0107700005,0.0,0.37387002,0.27232,,,,0.166,0.095,,19170000896.0,83026001920.0,,53.194,6.85,7.90042,3023999336.0,0.92,0.00090000004,0.0,,,,,,,
