date,atm_iv
2025-06-30,0.20677030649531236
2025-07-01,0.20366201198027886
2025-07-02,0.20207478555843514
2025-07-03,0.20165715063218356
2025-07-04,0.20042623120698114
2025-07-07,0.19422331449711794
2025-07-08,0.1944080422540042
2025-07-09,0.19418626861957816
2025-07-10,0.19442781209306068
2025-07-11,0.1968519568629189
2025-07-14,0.18326621989883798
2025-07-15,0.18387754065953324
2025-07-16,0.19075142152999225
2025-07-17,0.19150092222968243
2025-07-18,0.19143500372876127
2025-07-21,0.19292321004900392
2025-07-22,0.19597416788871722
2025-07-23,0.19577699921595582
2025-07-24,0.19858558986340472
2025-07-25,0.1892515245919073
2025-07-28,0.18664662697468687
2025-07-29,0.18834394563125628
2025-07-30,0.17323764951153522
2025-07-31,0.17037037837908797
2025-08-01,0.1692123135540787
2025-08-04,0.17166829454510288
2025-08-05,0.12203069556942688
2025-08-06,0.12239389351279185
2025-08-07,0.11983499900534958
2025-08-08,0.12153184224432113
2025-08-11,0.12347892082548816
2025-08-12,0.12563231256581192
2025-08-13,0.12522833005003317
2025-08-14,0.2980531975229312
2025-08-15,0.29737419180428426
2025-08-18,0.29751061706837345
2025-08-19,0.29747623640706483
2025-08-20,0.2983924810301139
2025-08-21,0.2987568796064283
2025-08-22,0.2967724026309751
2025-08-25,0.2976155093588224
2025-08-26,0.29389227858050015
2025-08-27,0.28877419555880085
2025-08-28,0.2876808877953766
2025-08-29,0.28771666399252743
2025-09-01,0.28765217254939346
2025-09-02,0.2843534256097213
2025-09-03,0.2844033335950033
2025-09-04,0.28512968274807604
2025-09-05,0.2850395256830316
2025-09-08,0.28368559573822394
2025-09-09,0.2846111925825567
2025-09-10,0.2854793143314556
2025-09-11,0.28330270879183306
2025-09-12,0.28234819083339263
2025-09-15,0.27909263571975484
2025-09-16,0.27915612861251377
2025-09-17,0.27976323884490717
2025-09-18,0.28111768959944605
2025-09-19,0.2792741253782597
2025-09-22,0.2846041757857722
2025-09-23,0.28597891242694773
2025-09-24,0.28591375715377526
2025-09-25,0.1095992061960816
2025-09-26,0.10955041147309263
2025-09-29,0.10939566923692949
2025-09-30,0.11283269776690837
2025-10-09,0.13905550329891703
2025-10-10,0.13674158263770642
2025-10-13,0.13726890640459466
2025-10-14,0.14129995162978345
2025-10-15,0.14444119976610115
2025-10-16,0.16131522241945914
2025-10-17,0.16314350125354726
